instance_id,repo,created_at,arm,model,model_ids_observed,resolved,total_cost_usd,prompt_side_tokens,completion_tokens,opus_prompt_tokens,opus_completion_tokens,opus_cost_usd,sonnet_prompt_tokens,sonnet_completion_tokens,sonnet_cost_usd,haiku_prompt_tokens,haiku_completion_tokens,haiku_cost_usd,n_turns,wall_clock_s,status,swap_fired,model_pin_ok,model_pin_drift,resolved_verdict_source,patch_empty,result_dir
openai__openai-agents-python-1636,openai/openai-agents-python,2025-09-02 09:55:04,opus-diag,claude-opus-4-8,claude-haiku-4-5-20251001|claude-opus-4-8|claude-sonnet-5,1,1.1675597,1590257,17633,888266,10292,0.8748260000000001,179608,3667,0.17014095,522383,3674,0.12259274999999999,49,182.91,ok,False,False,claude-haiku-4-5-20251001,jobs_round4/results/opus-diag/openai__openai-agents-python-1636/eval/openai__openai-agents-python-1636/report.json,False,jobs_round4/results/opus-diag/openai__openai-agents-python-1636
openai__openai-agents-python-1636,openai/openai-agents-python,2025-09-02 09:55:04,opus-lint,claude-opus-4-8,claude-opus-4-8,1,0.3634205,247382,5244,246115,5229,0.36207849999999997,0,0,0.0,1267,15,0.0013419999999999999,10,84.5,ok,False,True,,jobs_round4/results/opus-lint/openai__openai-agents-python-1636/eval/openai__openai-agents-python-1636/report.json,False,jobs_round4/results/opus-lint/openai__openai-agents-python-1636
openai__openai-agents-python-1633,openai/openai-agents-python,2025-09-02 01:10:29,opus-diag,claude-opus-4-8,claude-haiku-4-5-20251001|claude-opus-4-8|claude-sonnet-5,0,0.94746735,1332305,15399,554132,10431,0.71626075,66728,1629,0.09073245,711445,3339,0.14047415000000002,42,154.52,ok,False,False,claude-haiku-4-5-20251001,jobs_round4/results/opus-diag/openai__openai-agents-python-1633/eval/openai__openai-agents-python-1633/report.json,False,jobs_round4/results/opus-diag/openai__openai-agents-python-1633
openai__openai-agents-python-1633,openai/openai-agents-python,2025-09-02 01:10:29,opus-lint,claude-opus-4-8,claude-opus-4-8,0,0.41572849999999995,366385,5005,364909,4988,0.41416749999999997,0,0,0.0,1476,17,0.001561,14,79.13,ok,False,True,,jobs_round4/results/opus-lint/openai__openai-agents-python-1633/eval/openai__openai-agents-python-1633/report.json,False,jobs_round4/results/opus-lint/openai__openai-agents-python-1633
stanfordnlp__dspy-8739,stanfordnlp/dspy,2025-08-30 07:39:31,opus-diag,claude-opus-4-8,claude-opus-4-8|claude-sonnet-5,0,0.32559649999999996,406506,2984,114049,799,0.1388895,288370,2144,0.182415,4087,41,0.004292000000000001,13,20.95,ok,False,True,,jobs_round4/results/opus-diag/stanfordnlp__dspy-8739/eval/stanfordnlp__dspy-8739/report.json,False,jobs_round4/results/opus-diag/stanfordnlp__dspy-8739
stanfordnlp__dspy-8739,stanfordnlp/dspy,2025-08-30 07:39:31,opus-lint,claude-opus-4-8,claude-opus-4-8,0,0.46018400000000004,426885,4551,425300,4530,0.458494,0,0,0.0,1585,21,0.00169,15,109.13,ok,False,True,,jobs_round4/results/opus-lint/stanfordnlp__dspy-8739/eval/stanfordnlp__dspy-8739/report.json,False,jobs_round4/results/opus-lint/stanfordnlp__dspy-8739
openai__openai-agents-python-1619,openai/openai-agents-python,2025-08-29 21:02:29,opus-diag,claude-opus-4-8,claude-opus-4-8|claude-sonnet-5,1,0.47152629999999995,522767,4783,306360,2685,0.31211075,212293,2057,0.15509654999999997,4114,41,0.004319,18,63.31,ok,False,True,,jobs_round4/results/opus-diag/openai__openai-agents-python-1619/eval/openai__openai-agents-python-1619/report.json,False,jobs_round4/results/opus-diag/openai__openai-agents-python-1619
openai__openai-agents-python-1619,openai/openai-agents-python,2025-08-29 21:02:29,opus-lint,claude-opus-4-8,claude-opus-4-8,1,0.5637947499999999,590431,5082,588834,5063,0.5621027499999999,0,0,0.0,1597,19,0.001692,19,89.08,ok,False,True,,jobs_round4/results/opus-lint/openai__openai-agents-python-1619/eval/openai__openai-agents-python-1619/report.json,False,jobs_round4/results/opus-lint/openai__openai-agents-python-1619
django-guardian__django-guardian-899,django-guardian/django-guardian,2025-08-29 08:55:48,opus-diag,claude-opus-4-8,claude-opus-4-8|claude-sonnet-5,0,0.27036059999999995,272658,2586,133762,908,0.14958624999999998,136263,1642,0.11796134999999999,2633,36,0.002813,10,29.13,ok,False,True,,jobs_round4/results/opus-diag/django-guardian__django-guardian-899/eval/django-guardian__django-guardian-899/report.json,False,jobs_round4/results/opus-diag/django-guardian__django-guardian-899
django-guardian__django-guardian-899,django-guardian/django-guardian,2025-08-29 08:55:48,opus-lint,claude-opus-4-8,claude-opus-4-8,1,0.9267964999999999,412788,21155,411912,21137,0.9258304999999999,0,0,0.0,876,18,0.0009660000000000001,13,304.04,ok,False,True,,jobs_round4/results/opus-lint/django-guardian__django-guardian-899/eval/django-guardian__django-guardian-899/report.json,False,jobs_round4/results/opus-lint/django-guardian__django-guardian-899
django-guardian__django-guardian-896,django-guardian/django-guardian,2025-08-28 23:07:44,opus-diag,claude-opus-4-8,claude-opus-4-8|claude-sonnet-5,0,0.5599748999999999,592357,7637,452652,5145,0.44802974999999995,136235,2460,0.10831515,3470,32,0.0036300000000000004,21,97.34,ok,False,True,,jobs_round4/results/opus-diag/django-guardian__django-guardian-896/eval/django-guardian__django-guardian-896/report.json,False,jobs_round4/results/opus-diag/django-guardian__django-guardian-896
django-guardian__django-guardian-896,django-guardian/django-guardian,2025-08-28 23:07:44,opus-lint,claude-opus-4-8,claude-opus-4-8,0,0.2215875,151289,2681,150251,2665,0.22046949999999998,0,0,0.0,1038,16,0.001118,6,41.21,ok,False,True,,jobs_round4/results/opus-lint/django-guardian__django-guardian-896/eval/django-guardian__django-guardian-896/report.json,False,jobs_round4/results/opus-lint/django-guardian__django-guardian-896
a2aproject__a2a-python-443,a2aproject/a2a-python,2025-08-28 21:39:11,opus-diag,claude-opus-4-8,claude-opus-4-8|claude-sonnet-5,1,0.9692691500000001,1020647,11191,773667,8217,0.7611335000000001,244389,2942,0.20538465,2591,32,0.002751,28,104.66,ok,False,True,,jobs_round4/results/opus-diag/a2aproject__a2a-python-443/eval/a2aproject__a2a-python-443/report.json,False,jobs_round4/results/opus-diag/a2aproject__a2a-python-443
a2aproject__a2a-python-443,a2aproject/a2a-python,2025-08-28 21:39:11,opus-lint,claude-opus-4-8,claude-opus-4-8,0,0.22361849999999997,139722,1234,138896,1218,0.22271249999999998,0,0,0.0,826,16,0.000906,5,24.02,ok,False,True,,jobs_round4/results/opus-lint/a2aproject__a2a-python-443/eval/a2aproject__a2a-python-443/report.json,False,jobs_round4/results/opus-lint/a2aproject__a2a-python-443
openai__openai-agents-python-1601,openai/openai-agents-python,2025-08-28 05:18:26,opus-diag,claude-opus-4-8,claude-opus-4-8|claude-sonnet-5,0,2.1178663500000003,2429669,25063,2186672,22740,1.9564005000000002,239963,2292,0.15827685,3034,31,0.003189,56,345.89,ok,False,True,,jobs_round4/results/opus-diag/openai__openai-agents-python-1601/eval/openai__openai-agents-python-1601/report.json,False,jobs_round4/results/opus-diag/openai__openai-agents-python-1601
openai__openai-agents-python-1601,openai/openai-agents-python,2025-08-28 05:18:26,opus-lint,claude-opus-4-8,claude-opus-4-8,1,0.8112734999999999,811068,9133,810072,9117,0.8101974999999999,0,0,0.0,996,16,0.001076,27,152.21,ok,False,True,,jobs_round4/results/opus-lint/openai__openai-agents-python-1601/eval/openai__openai-agents-python-1601/report.json,False,jobs_round4/results/opus-lint/openai__openai-agents-python-1601
QuantEcon__QuantEcon.py-797,QuantEcon/QuantEcon.py,2025-08-27 23:56:06,opus-diag,claude-opus-4-8,claude-opus-4-8|claude-sonnet-5,0,0.39668275,242579,6211,99540,4905,0.270653,140517,1267,0.12331275,2522,39,0.002717,8,51.75,ok,False,True,,jobs_round4/results/opus-diag/QuantEcon__QuantEcon.py-797/eval/QuantEcon__QuantEcon.py-797/report.json,False,jobs_round4/results/opus-diag/QuantEcon__QuantEcon.py-797
QuantEcon__QuantEcon.py-797,QuantEcon/QuantEcon.py,2025-08-27 23:56:06,opus-lint,claude-opus-4-8,claude-opus-4-8,0,0.23207624999999996,189851,1654,189043,1634,0.23116824999999996,0,0,0.0,808,20,0.0009080000000000001,7,30.02,ok,False,True,,jobs_round4/results/opus-lint/QuantEcon__QuantEcon.py-797/eval/QuantEcon__QuantEcon.py-797/report.json,False,jobs_round4/results/opus-lint/QuantEcon__QuantEcon.py-797
pex-tool__pex-2888,pex-tool/pex,2025-08-27 19:57:49,opus-diag,claude-opus-4-8,claude-opus-4-8|claude-sonnet-5,0,0.7188519499999999,733684,7955,342588,3917,0.41754625,387012,4002,0.29704169999999996,4084,36,0.0042639999999999996,20,71.28,ok,False,True,,jobs_round4/results/opus-diag/pex-tool__pex-2888/eval/pex-tool__pex-2888/report.json,False,jobs_round4/results/opus-diag/pex-tool__pex-2888
pex-tool__pex-2888,pex-tool/pex,2025-08-27 19:57:49,opus-lint,claude-opus-4-8,claude-opus-4-8,0,0.3628975,175361,1874,173799,1856,0.3612455,0,0,0.0,1562,18,0.001652,4,32.63,ok,False,True,,jobs_round4/results/opus-lint/pex-tool__pex-2888/eval/pex-tool__pex-2888/report.json,False,jobs_round4/results/opus-lint/pex-tool__pex-2888
sdv-dev__SDV-2658,sdv-dev/SDV,2025-08-27 19:48:19,opus-diag,claude-opus-4-8,claude-opus-4-8|claude-sonnet-5,0,1.43362675,1339094,12800,1117878,10448,1.26572525,217685,2312,0.1641705,3531,40,0.003731,32,273.99,ok,False,True,,jobs_round4/results/opus-diag/sdv-dev__SDV-2658/eval/sdv-dev__SDV-2658/report.json,False,jobs_round4/results/opus-diag/sdv-dev__SDV-2658
sdv-dev__SDV-2658,sdv-dev/SDV,2025-08-27 19:48:19,opus-lint,claude-opus-4-8,claude-opus-4-8,0,0.3735355,282801,4832,281639,4812,0.37227350000000003,0,0,0.0,1162,20,0.001262,10,78.98,ok,False,True,,jobs_round4/results/opus-lint/sdv-dev__SDV-2658/eval/sdv-dev__SDV-2658/report.json,False,jobs_round4/results/opus-lint/sdv-dev__SDV-2658
stanfordnlp__dspy-8718,stanfordnlp/dspy,2025-08-27 06:46:30,opus-diag,claude-opus-4-8,claude-opus-4-8|claude-sonnet-5,0,0.2326533,168755,2042,94337,880,0.13597975,69882,1128,0.09196755,4536,34,0.004706,6,15.65,ok,False,True,,jobs_round4/results/opus-diag/stanfordnlp__dspy-8718/eval/stanfordnlp__dspy-8718/report.json,False,jobs_round4/results/opus-diag/stanfordnlp__dspy-8718
stanfordnlp__dspy-8718,stanfordnlp/dspy,2025-08-27 06:46:30,opus-lint,claude-opus-4-8,claude-opus-4-8,0,0.12370924999999999,70412,952,68558,935,0.12177025,0,0,0.0,1854,17,0.001939,3,18.74,ok,False,True,,jobs_round4/results/opus-lint/stanfordnlp__dspy-8718/eval/stanfordnlp__dspy-8718/report.json,False,jobs_round4/results/opus-lint/stanfordnlp__dspy-8718
sdv-dev__SDV-2656,sdv-dev/SDV,2025-08-26 21:22:01,opus-diag,claude-opus-4-8,claude-opus-4-8|claude-sonnet-5,1,0.23142494999999996,224410,1964,88989,855,0.12494949999999998,133190,1079,0.10409445,2231,30,0.002381,8,15.31,ok,False,True,,jobs_round4/results/opus-diag/sdv-dev__SDV-2656/eval/sdv-dev__SDV-2656/report.json,False,jobs_round4/results/opus-diag/sdv-dev__SDV-2656
sdv-dev__SDV-2656,sdv-dev/SDV,2025-08-26 21:22:01,opus-lint,claude-opus-4-8,claude-opus-4-8,1,0.12440775000000001,103678,841,102903,826,0.12355775000000001,0,0,0.0,775,15,0.00085,5,18.26,ok,False,True,,jobs_round4/results/opus-lint/sdv-dev__SDV-2656/eval/sdv-dev__SDV-2656/report.json,False,jobs_round4/results/opus-lint/sdv-dev__SDV-2656
aws-cloudformation__cfn-lint-4236,aws-cloudformation/cfn-lint,2025-08-26 18:22:09,opus-diag,claude-opus-4-8,claude-opus-4-8|claude-sonnet-5,0,0.26170519999999997,246032,2986,70021,590,0.11706575,172773,2359,0.14121645,3238,37,0.003423,8,14.84,ok,False,True,,jobs_round4/results/opus-diag/aws-cloudformation__cfn-lint-4236/eval/aws-cloudformation__cfn-lint-4236/report.json,False,jobs_round4/results/opus-diag/aws-cloudformation__cfn-lint-4236
